sample	microbial objects
52	"{""Propionibacterium_acnes-10"", ""Comamonas_jiangduensis-14"", ""Lactobacillus-9"", ""Sphingomonas-10"", ""Cupriavidus-11"", ""Acinetobacter_junii-13"", ""Cloacibacterium-11"", ""Pseudomonas-13"", ""Stenotrophomonas-9"", ""Ralstonia-7"", ""Acinetobacter_tjernbergiae-11"", ""Comamonas_terrae-8"", ""Epilithonimonas-7""}"
53	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-13"", ""Acinetobacter_tjernbergiae-9"", ""Moraxella-13""}"
54	"{""Propionibacterium_acnes-13"", ""Acinetobacter_junii-14"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-8"", ""Pseudomonas-9"", ""Pseudoxanthomonas-12"", ""Nitrosospira-9"", ""Sediminibacterium-12"", ""Acinetobacter_tjernbergiae-13"", ""Delftia-8"", ""Thermomonas-8"", ""Armatimonas-10""}"
55	"{""Propionibacterium_acnes-12"", ""Sphingomonas-10"", ""Acinetobacter_junii-14"", ""Acidovorax-10"", ""Corynebacterium-11"", ""Streptococcus-12"", ""Chryseobacterium-9"", ""Candidatus_Koribacter-12"", ""Sediminibacterium-10"", ""Acinetobacter_tjernbergiae-13"", ""Moraxella-11"", ""Herbiconiux-13""}"
56	"{""Propionibacterium_acnes-14"", ""Cloacibacterium-12"", ""Peredibacter-8"", ""Rothia-10"", ""Methylobacterium-9"", ""Sulfitobacter-11"", ""Sediminibacterium-12"", ""Delftia-11""}"
57	"{""Propionibacterium_acnes-14"", ""Cloacibacterium-8"", ""Acinetobacter_seohaensis-12"", ""Sediminibacterium-10"", ""Moraxella-12"", ""Jeotgalicoccus-14"", ""Bradyrhizobium-8""}"
58	"{""Rothia-8"", ""Nitrosospira-14"", ""Neomicrococcus-10"", ""Sediminibacterium-8"", ""Achromobacter-9"", ""Bradyrhizobium-8""}"
59	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-10"", ""Acidovorax-9"", ""Stenotrophomonas-12"", ""Streptococcus-9"", ""Nitrosospira-10"", ""Kocuria-8"", ""Sediminibacterium-12"", ""Acinetobacter_tjernbergiae-11"", ""Anabaena-8"", ""Epilithonimonas-8""}"
60	"{""Propionibacterium_acnes-14"", ""Pseudomonas-9"", ""Stenotrophomonas-9"", ""Cutibacterium-6"", ""Micrococcus-8"", ""Hydrotalea-6"", ""Kocuria-9"", ""Sediminibacterium-9"", ""Delftia-10""}"
61	"{""Prevotella-10"", ""Acinetobacter_junii-10"", ""Streptococcus-11"", ""Gemella-14"", ""Sediminibacterium-10""}"
62	"{""Propionibacterium_acnes-14"", ""Alkanindiges-9"", ""Kocuria-10"", ""Bradyrhizobium-12""}"
63	"{""Propionibacterium_acnes-10"", ""Comamonas_jiangduensis-7"", ""Acinetobacter_junii-13"", ""Acidovorax-13"", ""Zoogloea-11"", ""Comamonas_testosteroni-10"", ""Cloacibacterium-12"", ""Comamonas_denitrificans-10"", ""Brevibacterium-7"", ""Staphylococcus-8"", ""Stenotrophomonas-10"", ""Streptococcus-10"", ""Anoxybacillus-10"", ""Anaerosporobacter-10"", ""Ralstonia-8"", ""Peptoniphilus-10"", ""Myxococcus-8"", ""Blautia-13"", ""Acinetobacter_tjernbergiae-13"", ""Oscillibacter-8"", ""Bradyrhizobium-8"", ""Bacteroides-8"", ""Asticcacaulis-9"", ""Papillibacter-8"", ""Christensenella-11"", ""Anaerobacterium-12""}"
64	"{""Propionibacterium_acnes-9"", ""Comamonas_jiangduensis-11"", ""Veillonella-9"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Zoogloea-7"", ""Comamonas_testosteroni-10"", ""Cloacibacterium-10"", ""Pseudomonas-6"", ""Comamonas_denitrificans-6"", ""Flavobacterium-8"", ""Streptococcus-8"", ""Neisseria-8"", ""Gemella-6"", ""Aquabacterium-9"", ""Sediminibacterium-8"", ""Acinetobacter_tjernbergiae-13"", ""Acinetobacter_baumannii-7"", ""Moraxella-7"", ""Meiothermus-8"", ""Achromobacter-9""}"
65	"{""Propionibacterium_acnes-14"", ""Comamonas_jiangduensis-13"", ""Lactobacillus-7"", ""Lachnoclostridium-8"", ""Anaerococcus-10"", ""Acinetobacter_junii-14"", ""Cloacibacterium-11"", ""Herbaspirillum-9"", ""Pseudomonas-10"", ""Tyzzerella-9"", ""Dietzia-6"", ""Corynebacterium-8"", ""Stenotrophomonas-8"", ""Streptococcus-10"", ""Acinetobacter_seohaensis-11"", ""Sphingorhabdus-10"", ""Blautia-7"", ""Murdochiella-7"", ""Acinetobacter_tjernbergiae-11"", ""Anabaena-10"", ""Moraxella-9"", ""Leptotrichia-7"", ""Erysipelatoclostridium-7"", ""Bradyrhizobium-10"", ""Finegoldia-7"", ""Bacteroides-12"", ""Crinalium-11"", ""Snodgrassella-6""}"
66	"{""Propionibacterium_acnes-7"", ""Comamonas_jiangduensis-10"", ""Acinetobacter_junii-14"", ""Acidovorax-12"", ""Zoogloea-8"", ""Comamonas_testosteroni-9"", ""Cloacibacterium-10"", ""Pseudomonas-8"", ""Stenotrophomonas-9"", ""Nitrosospira-7"", ""Aquabacterium-9"", ""Hyphomicrobium-10"", ""Acinetobacter_tjernbergiae-14"", ""Acinetobacter_baumannii-6"", ""Moraxella-8""}"
67	"{""Propionibacterium_acnes-12"", ""Acinetobacter_junii-13"", ""Acidovorax-12"", ""Cloacibacterium-12"", ""Pseudomonas-12"", ""Bosea-11"", ""Bacillus-12"", ""Staphylococcus-9"", ""Novosphingobium-8"", ""Stenotrophomonas-11"", ""Roseomonas-9"", ""Janibacter-11"", ""Acinetobacter_tjernbergiae-14""}"
68	"{""Propionibacterium_acnes-12"", ""Acinetobacter_junii-13"", ""Acidovorax-8"", ""Cloacibacterium-12"", ""Pseudomonas-12"", ""Corynebacterium-8"", ""Comamonas_nitrativorans-10"", ""Bacillus-12"", ""Novosphingobium-8"", ""Paracoccus-8"", ""Methylobacterium-9"", ""Actinomyces-13"", ""Acinetobacter_tjernbergiae-13"", ""Anabaena-12"", ""Acinetobacter_baumannii-8"", ""Bergeyella-9"", ""Noviherbaspirillum-12"", ""Chroococcidiopsis-11"", ""Calothrix-8"", ""Crinalium-12""}"
69	"{""Propionibacterium_acnes-13"", ""Sphingomonas-14"", ""Variovorax-13"", ""Methylobacterium-12""}"
70	"{""Propionibacterium_acnes-13"", ""Lactobacillus-9"", ""Acinetobacter_junii-13"", ""Sphingobium-10"", ""Acidovorax-11"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-13"", ""Roseomonas-10"", ""Enterococcus-12"", ""Gemella-11"", ""Acinetobacter_tjernbergiae-13"", ""Actinobaculum-7"", ""Altererythrobacter-10""}"
